name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Ahmed Abdel Gawad,Male,"Al-Akhbar, Misr25","August 14, 2013",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2013,Staff
Ahmed Abdul Samad,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2020,Staff
Ahmed Abu al-Hamza,Male,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Ahmed Abu Hussein,Male,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,Middle East,2018,Staff
Ahmed Adam,Male,Al-Mada,"May 15, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Ahmed Addow Anshur,Male,Shabelle Media Network,"May 24, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Ahmed Adnan al-Ashlaq,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Staff
Ahmed al-Assam,Male,Freelancer,"May 28, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Freelancer
Ahmed Al-Qara,Male,Freelancer,"November 10, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Freelancer
Ahmed al-Rubai'i,Male,Al-Sabah,"mid-April, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Ahmed al-Shaibani,Male,"Yaman News, Yemen TV","February 16, 2016",Yemen,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ahmed Assem el-Senousy,Male,Freedom and Justice,"July 8, 2013",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2013,Staff
Ahmed Azize,Male,Aleppo News Network,"August 10, 2018",Syria,Crossfire,Killed,Journalist,Middle East,2018,Staff
Ahmed Farah Ilyas,Male,Universal TV,"October 23, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Staff
Ahmed Fatima,Male,Al Qahera News TV,"November 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Ahmed Hadi Naji,Male,Associated Press Television News,"January 5, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Ahmed Haidar,Male,Al-Manar Television,"July 26, 1993",Lebanon,Crossfire,Killed,Journalist,Middle East,1993,Staff
Ahmed Hasan Ahmed,Male,Xinhua News Agency,"June 20, 2014",Syria,Dangerous Assignment,Killed,Journalist,Middle East,2014,Staff
Ahmed Hassan Mahad,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire,Killed,Journalist,All other countries,2007,Staff
Ahmed Hussein Al-Maliki,Male,Talafar al-Yawm,"November 7, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Ahmed Hussein-Suale Divela,Male,Tiger Eye Private Investigations,"January 16, 2019",Ghana,Murder,Killed,Journalist,All other countries,2019,Staff
Ahmed Ismail Hassan,Male,Freelancer,"March 31, 2012",Bahrain,Dangerous Assignment,Killed,Journalist,Middle East,2012,Freelancer
Ahmed Issaad,Male,Algerian Television,"November 30, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994,Staff
Ahmed Jabbar Hashim,Male,Al-Sabah,"April 1, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Ahmed Kafi Awale,Male,Radio of the Somali People,"January 26, 2000",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2000,Staff
Ahmed Mohamed al-Mousa,Male,Raqqa is Being Slaughtered Silently,"December 16, 2015",Syria,Murder,Killed,Journalist,Middle East,2015,Staff
Ahmed Mohamed Shukur,Male,Somali National TV,"September 30, 2022",Somalia,Crossfire,Killed,Journalist,All other countries,2022,Staff
Ahmed Muhana al-Lami,Male,Freelancer,"December 6, 2019",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2019,Freelancer
Ahmed Rajib Haider,Male,Freelancer,"February 15, 2013",Bangladesh,Murder,Killed,Journalist,All other countries,2013,Freelancer
Ahmed Rilwan Abdulla,Male,Minivan News,"August 8, 2014",Maldives,Murder,Killed,Journalist,All other countries,2014,Staff
Ahmed Riyadh al-Karbouli,Male,Baghdad TV,"September 18, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Ahmed Salim,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Ahmed Shawkat,Male,Bilah Ittijah,"October 28, 2003",Iraq,Murder,Killed,Journalist,Middle East,2003,Staff
Ahmed Shehab,Male,Sowt Al-Asra Radio (Radio Voice of the Prisoners),"October 12, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Ahmed Wael Bakri,Male,Al-Sharqiyah,"June 28, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005,Staff
Ahmet Haceroğlu,Male,Türkmeneli TV,"October 21, 2016",Iraq,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ahmet Taner Kislali,Male,Cumhuriyet,"October 21, 1999",Turkey,Murder,Killed,Journalist,Middle East,1999,Staff
Aiyathurai Nadesan,Male,Virakesari,"May 31, 2004",Sri Lanka,Murder,Killed,Journalist,All other countries,2004,Staff
Ajay Lalwani,Male,Daily Puchano and Royal News TV,"March 18, 2021",Pakistan,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Staff
Ajmal Naqshbandi,Male,Freelancer,"April 8, 2007",Afghanistan,Murder,Killed,Journalist,All other countries,2007,Freelancer
Akhmednabi Akhmednabiyev,Male,Novoye Delo,"July 9, 2013",Russia,Murder,Killed,Journalist,All other countries,2013,Staff
Al-Hosseiny Abou Deif,Male,El-Fagr,"December 12, 2012",Egypt,Murder,Killed,Journalist,Middle East,2012,Staff
Al-Moutaz Bellah Ibrahim,Male,Shaam News Network,"May 4, 2014",Syria,Murder,Killed,Journalist,Middle East,2014,Staff
Alaa Abdel-Wahab,Male,Al-Baghdadia TV,"May 31, 2009",Iraq,Crossfire,Killed,Journalist,Middle East,2009,Staff
Alaa Abdul-Karim al-Fartoosi,Male,Al-Forat,"January 29, 2008",Iraq,Crossfire,Killed,Journalist,Middle East,2008,Staff
Alaa Edward Butros,Male,Freelancer,"November 24, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013,Freelancer
Alaa Kraym (Mohammed al-Qabouni),Male,Qaboun Media Center,"May 4, 2017",Syria,Crossfire,Killed,Journalist,Middle East,2017,Staff
Alaa Nayef al-Khader al-Khalidi,Male,Douma Coordination Office,"Between September 2016 and July 12, 2019",Syria,Motive Unconfirmed,Killed,Journalist,Middle East,2019,Staff
Alaa Uldeen Aziz,Male,ABC News,"May 17, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Alberto Graves Chakussanga,Male,Radio Despertar,"September 5, 2010",Angola,Murder,Killed,Journalist,All other countries,2010,Staff
Alberto Rivera Fernández,Male,Frecuencia Oriental,"April 12, 2004",Peru,Murder,Killed,Journalist,All other countries,2004,Staff
Aleh Byabenin,Male,Charter 97,"September 3, 2010",Belarus,Murder,Killed,Journalist,All other countries,2010,Staff
Alejandro Pérez,Male,Channel 2-Frequencia Latina TV,"June 5, 1992",Peru,Murder,Killed,Journalist,All other countries,1992,Staff
Alejandro Reblando,Male,Manila Bulletin,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Alejandro Zenón Fonseca Estrada,Male,EXA FM,"September 24, 2008",Mexico,Murder,Killed,Journalist,All other countries,2008,Staff
Aleksandr Rastorguyev,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder,Killed,Journalist,All other countries,2018,Staff
Aleksandr Sidelnikov,Male,Lennauchfilm Studio,"October 4, 1993",Russia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Aleksandr Smirnov,Male,Molodyozhny Kuryer,"October 4, 1993",Russia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Aleksandr Yefremov,Male,Nashe Vremya,"May 12, 2000",Russia,Crossfire,Killed,Journalist,All other countries,2000,Staff
Aleksandre Lashkarava,Male,TV Pirveli,"July 11, 2021",Georgia,Motive Unconfirmed,Killed,Journalist,All other countries,2021,Staff
Aleksei Sidorov,Male,Tolyatinskoye Obozreniye,"October 9, 2003",Russia,Murder,Killed,Journalist,All other countries,2003,Staff
Alessandro Otta,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire,Killed,Journalist,All other countries,1994,Staff
Alex Ogbu,Male,Regent Africa Times,"January 21, 2020",Nigeria,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Alexánder Álvarez,Male,Radio Urundey,"February 14, 2023",Paraguay,Motive Unconfirmed,Killed,Journalist,All other countries,2023,Staff
Alexander Klimchuk,Male,Caucasus Images,"August 10, 2008",Georgia,Crossfire,Killed,Journalist,All other countries,2008,Staff
Alexis Bandyatuyaga,Male,National Radio and Television of Burundi,"September 14, 1994",Burundi,Murder,Killed,Journalist,All other countries,1994,Staff
Alfonso Margarito Martínez Esquivel,Male,Freelancer,"January 17, 2022",Mexico,Murder,Killed,Journalist,All other countries,2022,Freelancer
Alfredo Abad López,Male,La Voz de la Selva,"December 13, 2000",Colombia,Murder,Killed,Journalist,All other countries,2000,Staff
Alfredo Antonio Hurtado Núñez,Male,Canal 33,"April 25, 2011",El Salvador,Murder,Killed,Journalist,All other countries,2011,Staff
Alfredo Cardoso Echeverría,Male,Las Dos Costas,"October 31, 2021",Mexico,Murder,Killed,Journalist,All other countries,2021,Staff
Alfrets Mirulewan,Male,Pelangi Weekly,"December 17, 2010",Indonesia,Murder,Killed,Journalist,All other countries,2010,Staff
Ali Abbas,Male,SANA,"August 11, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Staff
Ali Abboud,Male,Radio Chaine 1,"January 7, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Ali Abdel Aziz,Male,Al-Arabiya,"March 18, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Ali Ahmed Abdi,Male,Freelancer,"March 4, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012,Freelancer
Ali al-Khatib,Male,Al-Arabiya,"March 19, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Ali Boukerbache,Male,Media-TV,"March 21, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Ali Hassan al-Jaber,Male,Al-Jazeera,"March 13, 2011",Libya,Crossfire,Killed,Journalist,All other countries,2011,Staff
Ali Ibrahim Issa,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire,Killed,Journalist,Middle East,2005,Staff
Ali Jaafar,Male,Al-Iraqiya,"May 31, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Ali Mahmoud Othman,Male,Freelancer,"December 30, 2013",Syria,Motive Unconfirmed,Killed,Journalist,Middle East,2013,Freelancer
Ali Mahmud,Male,Al-Ghadeer TV,"July 13, 2016",Iraq,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ali Mustafa,Male,Freelancer,"March 9, 2014",Syria,Crossfire,Killed,Journalist,Middle East,2014,Freelancer
Ali Nur Siad,Male,Voice of America,"October 14, 2017",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Ali Risan,Male,Al-Sumaria TV,"October 22, 2016",Iraq,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ali Saleemi,Male,Mashal TV,"April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018,Staff
Ali Shaaban,Male,Al-Jadeed,"April 9, 2012",Lebanon,Crossfire,Killed,Journalist,Middle East,2012,Staff
Ali Sharmarke,Male,HornAfrik,"August 11, 2007",Somalia,Murder,Killed,Journalist,All other countries,2007,Staff
Alisher Saipov,Male,Siyosat,"October 24, 2007",Kyrgyzstan,Murder,Killed,Journalist,All other countries,2007,Staff
Allah Noor,Male,Khyber TV,"February 7, 2005",Pakistan,Murder,Killed,Journalist,All other countries,2005,Staff
Allaoua Ait M'barak,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996,Staff
Almigdad Mojalli,Male,Freelancer,"January 17, 2016",Yemen,Crossfire,Killed,Journalist,Middle East,2016,Freelancer
Aloys Nyimbuzi,Male,L'Observateur,"April 7, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Alpha Amadu Bah,Male,Independent Observer,"January 17, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Staff
Altaf Ahmed Faktoo,Male,Doordarshan TV,"January 1, 1997",India,Murder,Killed,Journalist,All other countries,1997,Staff
Alwan al-Ghorabi,Male,Afaq,"June 21, 2011",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Amado Ramírez Dillanes,Male,Televisa and Radiorama,"April 6, 2007",Mexico,Murder,Killed,Journalist,All other countries,2007,Staff
Amer Diab,Male,Freelancer,"March 29, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Freelancer
Amer Malallah al-Rashidi,Male,Al-Mosuliya,"September 3, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Ameur Ouagueni,Male,Le Matin,"August 20, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995,Staff
Amir Nowab,Male,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Murder,Killed,Journalist,All other countries,2005,Staff
Amjad Anas Aktalati,Male,Freelancer,"February 4, 2020",Syria,Crossfire,Killed,Journalist,Middle East,2020,Freelancer
Amjad Hameed,Male,Al-Iraqiya,"March 11, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Amjad Hassan Bakir,Male,Saraqib al-Hadath,"June 18, 2019",Syria,Crossfire,Killed,Journalist,Middle East,2019,Staff
Ammar al-Shami,Male,Qasioun News,"May 31, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Ammar Mohamed Suhail Zado,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Staff
Amr Badir al-Deen Junaid,Male,Qaboun Media Center,"March 10, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Staff
Anak Agung Prabangsa,Male,Radar Bali,"February 11, 2009",Indonesia,Murder,Killed,Journalist,All other countries,2009,Staff
Ananta Bijoy Das,Male,Freelancer,"May 12, 2015",Bangladesh,Murder,Killed,Journalist,All other countries,2015,Freelancer
Anas al-Dyab,Male,Freelancer,"July 21, 2019",Syria,Crossfire,Killed,Journalist,Middle East,2019,Freelancer
Anas al-Tarsha,Male,Freelancer,"February 24, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012,Freelancer
Anastase Seruvumba,Male,Imbaga,"April 29, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Anatoly Klyan,Male,Pervy Kanal,"June 30, 2014",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2014,Staff
Anatoly Levin-Utkin,Male,Yuridichesky Peterburg Segodnya,"August 24, 1998",Russia,Murder,Killed,Journalist,All other countries,1998,Staff
Ando Ratovonirina,Male,Radio Télévision Analamanga,"February 7, 2009",Madagascar,Dangerous Assignment,Killed,Journalist,All other countries,2009,Staff
André Kameya,Male,Rwanda Rushya,"April-June, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994,Staff
Andrea Rocchelli,Male,Cesura photo agency,"May 24, 2014",Ukraine,Crossfire,Killed,Journalist,All other countries,2014,Staff
Andrei Soloviev,Male,ITAR-TASS,"September 27, 1993",Georgia,Crossfire,Killed,Journalist,All other countries,1993,Staff
Andrei Stenin,Male,Rossiya Segodnya,"August 6, 2014",Ukraine,Crossfire,Killed,Journalist,All other countries,2014,Staff
Andrés Felipe Guevara Henao,Male,Q’hubo Cali,"December 23, 2020",Colombia,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Andres Teodoro,Male,Central Mindanao Inquirer,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Ángel Eduardo Gahona,Male,El Meridiano,"April 21, 2018",Nicaragua,Dangerous Assignment,Killed,Journalist,All other countries,2018,Staff
Anil Mazumdar,Male,Aji,"March 24, 2009",India,Murder,Killed,Journalist,All other countries,2009,Staff
Anthony Macharia,Male,Reuters,"July 12, 1993",Somalia,Murder,Killed,Journalist,All other countries,1993,Staff
Antoine Massé,Male,Le Courrier d'Abidjan,"November 7, 2004",Ivory Coast,Dangerous Assignment,Killed,Journalist,All other countries,2004,Staff
Anton Hammerl,Male,Freelancer,"April 5, 2011",Libya,Crossfire,Killed,Journalist,All other countries,2011,Freelancer
Antonio Casemero,Male,Televisao Popular de Angola,"October 30, 1996",Angola,Murder,Killed,Journalist,All other countries,1996,Staff
Antonio de la Torre Echeandía,Male,Radio Órbita,"February 14, 2004",Peru,Murder,Killed,Journalist,All other countries,2004,Staff
Anura Priyantha,Male,Independent Television Network,"December 18, 1999",Sri Lanka,Dangerous Assignment,Killed,Journalist,All other countries,1999,Staff
Anwar al-Rakan,Male,"Al-Gomhouria,Al-Jamahir","June 2, 2018",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2018,Staff
"Apolinario ""Polly"" Pobeda",Male,DWTI Radio,"May 17, 2003",Philippines,Murder,Killed,Journalist,All other countries,2003,Staff
Ardiansyah Matra'is,Male,Merauke TV,"July 30, 2010",Indonesia,Murder,Killed,Journalist,All other countries,2010,Staff
Aref Ali Filaih,Male,Aswat al-Iraq,"June 11, 2007",Iraq,Crossfire,Killed,Journalist,Middle East,2007,Staff
Aristeu Guida da Silva,Male,A Gazeta de São Fidélis,"May 12, 1995",Brazil,Murder,Killed,Journalist,All other countries,1995,Staff
Arkan Sharifi,Male,Kurdistan TV,"October 30, 2017",Iraq,Murder,Killed,Journalist,Middle East,2017,Staff
Arman Soldin,Male,Agence France-Presse,"May 9, 2023",Ukraine,Crossfire,Killed,Journalist,All other countries,2023,Staff
Armando Linares López,Male,Monitor Michoacán,"March 15, 2022",Mexico,Murder,Killed,Journalist,All other countries,2022,Staff
Armando Pace,Male,DXDS,"July 18, 2006",Philippines,Murder,Killed,Journalist,All other countries,2006,Staff
Armando Saldaña Morales,Male,La Ke Buena 100.9 FM,"May 2,3 or 4, 2015",Mexico,Murder,Killed,Journalist,All other countries,2015,Staff
Arnnel Manalo,Male,Bulgar and DZRH Radio,"August 5, 2004",Philippines,Murder,Killed,Journalist,All other countries,2004,Staff
Arshad Sharif,Male,Unknown,"October 23, 2022",Kenya,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Artur Gilela,Male,Radio Nacional de Angola,"June 16, 1994",Angola,Crossfire,Killed,Journalist,All other countries,1994,Staff
Arturo Alba,Male,Telediario,"October 29, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Arturo Betia,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Asaad Kadhim,Male,Al-Iraqiya TV,"April 19, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004,Staff
Asfandyar Khan,Male,Akhbar-e-Khyber,"June 11, 2011",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2011,Staff
Ashok Sodhi,Male,Daily Excelsior,"May 11, 2008",India,Dangerous Assignment,Killed,Journalist,All other countries,2008,Staff
Aslam Durrani,Male,Daily Pakistan,"April 16, 2013",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2013,Staff
Assaad Shamlakh,Male,Unknown,"October 8, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
